completion,prompt
 bro what is meaning of double star it ipt, hm
 this happens when you wrote this or not worte this??, worked
 and when we not write it then what it shows, wrote this
 if giving wrong file name, if the file doesn't have anything then maybe it's shows 0
 listen when we not wrote it then output give is what??, for u?
 ohh, it
 yaa maybe, or maybe seg fault
 yes bro, bro r u there
 they give input along with ./a.out, .
 sir  will give the name, bro i understand that we should do fopen (input file name)
 char, when we are writing the code should we take in consideration that k is a char and take(int)k -48
 , 👍
 yaa, if k >= 10 we dont ascii value naa
 make function like atoi, 😨
 never😬😬, we shouldnt use atoi ?
 yaa but not so much, thats a lot of work
 but after writing free p my program showing error, in the lecture sir said that now that we have equalled *p = 0 ;
 🥲🥲, it creates a heap
 sorry sorry😅😅, what is the error u are getting
 yes, ?
 what happen, 
 yaa ok, let's talk about this after dm test
 no, bro this one any idea
 🥲🥲, not given
 nowadays all bad things are happening in life😭😭, only that q missed
 does quiz is showing on your safe app??, we can't do anything
 ok, no
 not for me also, u
 correct ig, is this q crt or wrong. 3 one
 no no it's only question no 3, where?
 yaa previous ones, before exam one's or new one's which will be updated
 no bro, u?
 not given exam🥲🥲, how did u write
 i have some important work, yy
 so he said that he will take maybe at 5pm, lucky boy
 i am thinking this world be more dangerous, oh all the best
 it's so much hard😨😨, i wont even 30percent marks this time
 did questions are available on safe??, one of best weapon
 kk, no
 9 till now, quiz 2 how much bro
 but maybe they have given 0 in that🥲🥲, ha
 how many questions are there in today's test??, no
 🙄🙄, maybe 9
 kk, n!/i!j!k!
 it seems that it not work, what should i dk
 ye, bro r u there
 yes but not fully, did u get the first one
 yaa it's working, for new atoi
 i used ☝️ for other use not for atoi, i didn't understand
 but it should work in making atoi also, ok
 we have print the lines, 
 and make conditions in then, we have to create function like simple grep
 seems crt, whose properties are given
 are you using different function or in main??, 
 then in function starting  are you using this.  char argv[1][ ], diff
 👍👍, this worked
 i have suggestion don't specify it as [10] , thanks bro
 -v print all the lines which not contain the specific word, 
 are you asking that what happens when both  v and i occur, no no 
 you know printing all lines of file, frankly i didn't get the q
 yes so check the given pattern in whole line, it
 if sir include  -v in input  then just reverse the case, i don't understand -i -v
 , if -i 
 but we just ignore it, if (argv[1] = -i){
 🙂🙂, ok thanks bro
 yes, bro
 i think they give us input as input/alice.txt, 
 i don't know, will the autojudge give this input into the code
 showing clang failed something something😭😭, i wrote my code based on argv[]
 ig, wrong file opened
 yes we have to do same, i did nt input anything i just wrote the code assuming the autojudge will give the command line arguments and the code takes this as argv[]
 but 1 condition is that we have not get input of file as alice.txt but inputs/alice.txt, 
 yaa yaa, 
 thinking🥲🥲, bro how to do this
 sure bro, bro if u get how how to do it pls tell me
 yaa it should show, it's showing error
 yaa you are putting whole thing including inputs, is it wrong
 yes, ?
 if you remove argc-1 then also input present there, argc-1
 yaa ig u r ryt, the thing is 
 yes 1st we should complete all other stuff, i don't know bro what to do i will just leave this as it is 
 yes, bro r u there
 what happened bro🙄🙄, you deleted this message
 k, it's sorted out
 i 500🥲🥲, i took 100
 am i ryt??, 😅
 k, ya
 no, number of times \n one
 are you getting from start??, i need a hint bro
 means when you type ./a.out k file.txt, but for \n not working
 and then when you press enter, s
 no for every \n it prints next line, it is mentioned number of \n characters then that many new lines naa
 in this??, i don't know what to do
 tell if you have any problem, leave it
 👍, it's sorted out
 🥲🥲, it's giving 1 line
 we have to deque the earliest number entered, they haven't mentioned the number which is dequed
 why bro, see this in output 3rd line should be 264831...
 , if (fp == 0){
 yaa, included ?
 remove the word which is dequed, have any idea for 3rd one bro
 struct is just like any datatype bro, how to take input
 so the question is asking same na, sir said \n and enter are same
 that when we print enter then it prints 1 line, hm
 yes, next line
 then leave it, i < eof
 hm, try this
 yes, for 2md one?
 mine too bro, so i don't if it works or not
 yes, did u do 3rd
 they how your code runs, are they important or can i just leave them like that
 ohh, they aren't errors na
 bro these are general warnings, my code is incomplete
 make another string with that part of character, bro how to pass only some part of a string
 , you deleted this message
 i also done same, iam not sure
 but in server it is giving using getline🙄🙄, in that command line only ig
 , then what should we do 😭
 🙂🙂, we might just be saved
 yes, bro
 only dequed no, in third q they said to print dequued number also no
 we not need to print enqued no, the dequed number before enqued number no
 yes, bro r u there
 tomorrow, or today
 kk, i will ask you after some time
 in 3rd ques??, iam not using heap
 i not used anywhere, s
 🙄🙄, then how did u store them
 yes, output will be 54 na
 by struct, how did u store these 54 20
 make array of struct, ?
 array contain truct, struct contain arrays or array of struct
 yes, then the numerical part of this as some part of struct?
 yes bro, bro r u there
 we have not to use n string, how to only n(string) as a part of struct
 you have taken wrong definition of struct, are u saying this
 no no, ?
 yes, 
 just make another string removing e, how like we are taking total as a string na e n 
 no, bro are u kind of bisy
 no no bro, am i disturbing u
 there is only one string na, ?
 you get some idea na, it's fine
 done??, thanks bro
 👍👍, thanks a lot
 kk, what abt u
 thinking🙄🙄, i will be crushed in that
 i am very bad bro but yet thinking😅😅, but if u are going to participate select people in your time mainly on the topics given
 hmm, team
 in my area it's  big festival, what about your area
 i think this holi will be spoilt😢😢, oh
 exams etc.., in our area
 ohh, ha
 yess, so much fun ig
 you all celebrate different festival na like pongal etc etc.., oh
 here maximum people don't know what is pongal😅😅, haa
 it will be so much fun, sankranti you know?
 when i come, 😨
 yes yes it's is also celebrated here, hmm
 ohh😅😅, are pongal and sankranti same
 in that replace the input from 3 to 5, bro did u modify code for 4th
 yes bro, bro r u there
 yaa seems ok, ok?
 make 3 more matrix, i did something
 yes, input?
 i can't say anything, for second one?
 0 and 1, no iam saying 4 iii)
 yes ig, integer to real
 but we have to do 7 na, for 5 it's working
 as written in ques, haa
 hmm, just experimented
 all na, hm
 bro do it between 0 and 1, 
 sir said, y?
 👍👍, thanks btw
 which one??, bro
 idk, and 4th probably word
 what you think bro??, you deleted this message
 means you are uploading py file na??, i will just upload extra .py file from the rest
 does we have to take input from outside, don't know
 does we have to take training input from other file??, wait what
 just leave it😅😅, i don't think so
 bro do we have to submit 3 files in question 4, what's the meaning
 yaa, all 3 in one only na
 now i am not going to write anything, should we write own?😨
 you??, completed bro total
 yes read last 10 pages of last slide, for that one
 nice decision😂😂, no i will just submit as it is
 yaa i will ask, if anyone of your friends says it will be considered as plagiarism then tell me bro
 i don't want to see it bro because i haven't try it yet🙄🙄, for 5th one this is crt?
 thanks bro🙂🙂, take this as ref you will understand properly
 kk, you will get in this
 yaa yaa sure, instead of pictures its better if u go through this
 just figure, bro for 2nd one just figure is enough or complete output also needed?
 he is saying that we have to submit image containing hyperplane and support vector, and the support vectors also they said
 by counting the points😂😂, but how do they know what integer it is
 bro i am not confirm because in sentence there is comma before the, its better to be on safe side bro
 hmm, iam doing that
 yes, last week
 you remember that at last sir shows that vc dimension is 3 for 2 inputs, like maybe 4 5 days back
 then what is difference between this question and 5th question, haa
 i think that theta term, bias
 yaa maybe, i think so
 i can't see any v in vector support machine🤔🤔, iam thinking like this
 then what is x1 x2, 2 input percetrom means 2 d vector o think
 oh yaa, v means x1 x2
 x1 and x2 are 2 vectors??, i just took some random
 k, ig vectors
 hmm, 2 input percetrom 2d vector
 oh i see🤩🤩, line
 but why this line case not taken in this., i asked a senior
 kk, iam sry iam not sure bro
 btw thanks bro i really can't imagine that line case, we should ask sir maybe
 no bro🙄🙄, bias means -teta
 meeting recorded na??, no
 😮‍💨😮‍💨k, s
 no today is shivratri na, health problem?
 are you in itp class??, ok ok
 what sir is explaining, s
 ohk, theory lecture
 ohk, i left class bro
 kk, like 5 min back
 can you please give an example with 2d vector, discriminate
 kk ty, but there's no use
 k, no need i think
 bro is there hackathon tomorrow??, no bro
 and what about theory quiz??, no theory quiz
 tomorrow is theory quiz, i don't know what it is there is a theory quiz
 😱😱, ha
 i think we have to prepare algorithm time, i don't know what to prep for tom
 12.5😭😭, dm 2 what is you total bro
 👍👍, 17
 it is, i don't think so
 ig start at 5, when time?
 , before
 yes, did he say
 k, ig
 means for checking that server is capable of taking test of 450 students or not, i don't know what it means
 that's i am asking, exam
 quiz is on monday, discord no update
 sir will tell, no today's mock quiz
 i have to see wait, do you have the fee structure for 2md sem
 it is not available on website??, applying for loan
 as i think it should be around 1lakh, i got this one bro
 but this is not for ours na, confirm this bro once
 yes, our fee structure is not there in the website
 https://iith.ac.in/academics/fee-structure/, second sem fees is also not updated in mail
 oh ok then, i opened the same one bro
 yaa i am confuse that what is meaning of 'literature', 3rd question meaning bro?
 no, tommorrow test timimgs
 ohk, ig it's irrelevant
 not yet🥲🥲, bro do u know any cardinal labelled multi class classification examples
 for ordinal one??, my frnd said this examole
 kk thanks bro🙂🙂, cardinal
 hmm, think examples like this
 yes😅😅btw ig you are ryt, anyway tmrow in grp we can discuss
 hmm, let's just be on safe side
 yaa i also tried to find dnn online but not get anything😅😅, i wrote deep learning only
 we have to find probability, for 1st sub question what should we do
 that idk🥲🥲, 
 yaa maybe, maybe just bias value i guess
 , that is classifier
 b=-theta na, this one only na
 bro how to draw graph in 3rd part of 1, 👍
 🥲🥲ohk, i think we should just draw
 ok, haa ig
 17🥲🥲, u bro?
 different, ?
 😅😅, should change😭
 yes me too😆😆, what should i do
 ig probability become opposite, ai
 yes, 1-p
 ohk, it's minus into b
 yes, conventional?
 yaa it is more than sufficient, is it sufficient
 p should be 1-p nq, okena na
 then it's okay👍👍, haa 1-p
 but ann consist all dnn also🥲🥲, bro for conventional can we write ann
 module 1??, click on the link
 yaa i got it, 3-4
 we are not supposed to draw according to x values??, see
 ohh, i drawn seeing this
 bro why it's not necessary to add & when we take input of any string??, no ig
 you didn't get my question??, i didn't get it bro
 ohh ok, you may get seg fault also
 yaa, one in the mail?
 yaa same problem   maybe it not have permission, it's not opening
 hn, bro r u there
 i just write in comment, dm
 maybe they give form later, what ?
 no, they didn't give na
 yaa you can, to chaitanya reddy
 if no response then write email, ok
 maybe 16 or 17, bro when is final test of intro to ai
 🥲🥲, my god next week is too much
 ya, 3 assignment
 😁😁, when the snow melts spring comes
 oh ok, of the recent one
 9🥲🥲, bro how much
 yaa bro, didn't expect that level paper
 next means 19??, ai
 maybe, and hw 4?
 after wednesday any time, it's already monday
 yaa maybe sir not told the ta  about that, that much time
 yaa but it ruin the holi preparations😢😢, eng is either on 15 17 na
 yes, yeah
 18th, holi is on 19th na
 yaa🥲🥲, but should prepare earlier
 yaa there is not any choice to prepond it😢😢, should confirm it
 17 discrete, 17th maybe
 yes, ?
 😅😅 too much work bro, on 17th
 yaa but mainly the portion after quiz 3, from the start?
 really bro i just lost previous things, but if it's complete i will just die
 no only 1 of 2, ?
 it will corrected, any one
 as you wish, should i mail them🧐
 so sir said he will correct it, then fine
 yes i think so    i think sir also tell that hand written is better, like not necessarily word na
 sir said he will give form till weekend, bro did u get any response from ta for discrete maths quiz 2
 no bro, bro did u complete project
 then fine😅😅, 17th bro
 when is hackathon😨😨, 
 ig on monday, was sir saying that it will be conducted on monday or the informtion will be given on monday
 given on monday and till 2 days, 😨😭😭
 yaa bro you can say on discord , we might have more time
 all will be managed., but still holi is a bigger festival for u
 don't know bro, bro y is this
 oh sorry i haven't seen it😅😅, i think it isnt necessary
 means radiation is symmertic wrt centre??, you deleted this message
 https://youtu.be/9qdjexc2avg, uniform figure or body naa so symmetry
 no, u follow this channel
 ohh😅😅, that linear index q
 👍, thanks bro it's perfect
 ok, don't know bro
 hmm, it's not continuous
 yaa yaa, iam not sure though
 hmm means al last they found average energy, 
 ok, i think so
 yes bro, bro r u there
 in main??, bro what does exactly return do
 yes, we can return our required value to main na
 the all i talked about is for main, here where does the return goes to
 this return is inside function, it goes to main or that function only?
 i your question is what is meaning of return here , i didn't understand what you are saying
 whenever you call that function, it returns step value to main??
 👍👍, i think i got it
 i haven't seen the topics yet😅😅, which one planning
 handwritten??, but i wrote
 no problem, ha
 ohh🥲🥲, first one are instructions bro😅
 very hard bro😭😭, 5.5
 yes, this is wrong?
 no, bro any idea how these quizzes have weightage bro
 they can, then they won't even check plagarism?😒🙄
 karteek sir is very clever😅😅, ok
 bro have you done question 6, ya should be careful
 yaa bro thanks, i think sir mentioned
 yes, for 3rd one did u do it
 😅😅, iam outside now it will take me 2 3 hrs to reach
 there will be no degeneracy ig, bro for third one did u consider any degenerecy
 find uncertainity in frequency  by uncertainity principle, have u done the 8t one
 yes, ?
 sorry bro, maybe round off
 i give the solution if 2nd 3rd part😅, see this once
 now tell  what your doubt, ?
 wait i will send my ans, i don't have any idea about 8th
 , ?
 because any photon will take exactly 2d/c time to hit, 
 so in 2d/c time all photon hit exactly once, 
 yaa but i have taken whole that interval na, initially some photons go to this side and another that side na
 you think any example, for different type of photons it will be diff na
 yaa position may be different , initially n photons
 let n/2 going to other side will also take less than 2d/c time bruh, what we are doing is n goes to one side
 which both, to reach other mirror
 yaa , these n/2 phto
 how you exactly say that 1.5d/c, ha
 bit you can say that it will take less than 2d/c time to hit the partially reflecting one, ya
 👍, it's best one
 we get the photons emitted in 2d/c, bro i have a doubt
 means every photon hitting contribute in producing these photons, 
 🥲🥲, bro
 you are considering all collision happening in 1 sec, where iam making mistake
 .., hm
 , ya 25 degrees
 bro how much you got in 5th 2nd one??, but i will go with 2d/c
 kk, close to that
 bro, 
 ok, 2vcn into 2vpn
 yes yes i get, 2vcn
 hmm thanks bro, multiply all
 no bro, did u get bro
 i didn't ask but ig not yet, sq timing s?
 it's not fixed yet bro, but we do have an exam an 19th
 humcharo taraf se ghere ja chuke h, wait isn't it confirm that 19th is ai test
 it can be before 19, 😨
 even i can't understand in class also🥲🥲, i thought i can read on 18th
 it not compulsory ig, should there be no exams
 so it can be on 19, ha
 no bro all other batches also have additional subjects, we are completely at a disadvantage wrt other batches
 but our exams are too hard🙄🙄, but not tight schedule as ours
 not you only bro, i spend more time
 , haa
 yes, bro for a simple path there should be no common vertex na
 many people asked bro, bro i think we should ask karteek sir to do something about hack or else
 bro , hmm
 ohh kk, i know i can't do tutorial so reading and seeing examples in rosen
 ok, maybe 40 percent
 yes bro, bro were u there in maths class
 not sure about this, when will sir keep tut solutions
 maybe today, when sir said this iam there
 he says 1 and 1/2 days, iam not sure about 19th though
 48 hour, if we start google form then it will be 1 hr?
 yaa bro, subjective?
 but it can happen in any exam, what was sir thinking anyway
 bro one good news we don't have ai test, hmm
 sir said in classroom, why?
 google classroom bro, wait today class is there?
 🥳🥳yes bro, that means after 17th we are free birds
 what happens bro, you deleted this message
 ohh ok, i asked what exactly is single root condition
 yes bro, bro did u open the google form
 yes bro, bro r u there
 yes, or just nested loop
 no bro, here given we should directly take a matrix as i put
 now you take input as simply, no auto judge isn't open
 bro in 2nd question if both condition will follow then also ok na, 👍
 kk, iam not sure bro
 hmm, only one ig
 yes, bro did u use malloc for p2
 yes bro, bro r u there
 vlm means, 
 yes bro, my declaration of array here
 it is vit is vla, is it vla
 because you declared as int*a[n], yy
 means, should i take any arbitrary number
 you have allocated half memory on heap and half on stack, 
 you have allocated first integer of every array in stack, ?
 bro i am bit confused if i am saying correct or not, avoid stack
 then what are asking, i understood that
 yaa it seems correct bro, my way of creating matrix is array of pointers
 ok bro, maybe search stackoverflow
 yes bro, bro r u there
 nothing, what quiz
 ok, maybe 4
 which question, 
 yes bro, q8 eng
 😁😁, me too
 then don't know bro🥲🥲, whatever n is
 don't take risk bro, eng exam will it auto submit at 10
 👍👍, ha submitted
 but i don't think it detect exponent time, have u completed hack
 hmm, remember in product u have multiplication and addition
 kk, haa but got only 20 points
 yes ig so, our exam is 4pm na
 what is cowst matrix??, you deleted this message
 yaa something like that, i wanted to ask cost matrix
 bro, ok
 where is link, maybe gradescope
 yaa, end time
 yaa because i don't getting how to login etc.., submit?
 there is asking course code etc etc, ok
 ok, no
 hmm ok bro, so do it fast bro
 ohh ok bro, not done yet
 ok bro, ya
 bro, 
 ohh ok, my frnd helped me
 yes bro, r u there
 no bro, check mail
 bro have you done registration??, maybe ta are diff
 bro, no
 how to do, iam doing now bro
 yaa i also got this., these only aa?
 when, we got na mail to register before 25
 hmm, 
 are we supposed to do registration without instruction of faculty advisor??, did u?
 yaa the main confusion is that here written for 2020, this is for cs
 this is not yours??, some courses aren't opening
 ohh, no seniors
 last date is tomorrow , search in website
 ohh ok, 23rd
 no now, learning?
 for what, so u r planning
 i think we should do python, i don't know what to do in these days
 because it needed in ai, hmm
 , ha
 if now we do first 4 courses now, it will open in couple of days ig
 ohh ok, we can add ig
 no bro, bro did u pay fees
 many one are saying that server for fees paying not started yet, any mail regarding fees is updated in mail na
 idk bro, since today is the only day na
 ohh, but just 2 days back they can't do it since they have so many pending loans
 then what you do bro😕😕, they said u pay the fees in time we will reimburse it back
 yaa but it includes hostels and mess also na, 134600
 where you got this??, don't know
 yaa maybe, for 2021
 how many marks you got bro in hackathon bro??, if u get any source for python tell me bro
 mine 35🥲😭, no bro dont ask
 ohh, me less than 30
 it's active bro but it's showing 1st semester fees, bro when the fees link is active tell me bro
 bro, hmn
 yaa same, yesterday i applied for 3
 70 bro🥲🥲, hack 4?
 i didn't use close in both 1 and 2, me 56
 ohh ok, i mailed my respective ta
 ohk, .
 ig no, registration started?
 pizza account creation bro, what is this?
 check your mail, i am travelling to my village
 , keep the screen shot bro once
 that's why bro, am
 have u attended today class at 12 pm, iam going to be busy bro for next 3 days
 no just intro, bro r u there
 hmu means, bro do hmu have the mail of gvv sir
 wait a sec, how to mail sir
 👍👍, maybe i should wait for some time
 kk, i will mail at 7 tonight
 yes bro, bro r u there
 not now, did u create github account
 there is not any option to signup, assignment 1 deadline?
 .., ok
 ohh i was looking in phone😅😅, 
 depend on your problem, so bro can we use c
 yes, for graph plotting we need use python
 yes, and bro we need to write code na for problem s
 bro what is latex, and sir have shown some codes naa
 means it is an editor, 
 no🤔🤔, alternative of word iguess
 yaa maybe, and submit
 same, i don't know python
 ohh😎😎, actually iam in my village celebrating festival
 yes, that's it na
 these are the solution of questions, high school solutions?
 then don't know bro, but ours are icse
 yes, bro did u take consumers and commodities la
 means, bro let's be in the same grp
 ok done, 5 or 6
 fine, he is willing to join
 follow this link to join my whatsapp group: https://chat.whatsapp.com/bgyxizwlkwzbdqqedx1acq, ok
 means i have not to join it, https://chat.whatsapp.com/egirpa9nk61dyvh16yobpo
 joined😁😁, new grp
 what's his name, ha
 which branch, sai pradeep
 kk, ha ai
 whom to add?, bro let's create 6 member grp
 but now there are only 3 members, even if he quits we have 5 members
 kk, by name he is a boy
 sure, ask them
 yaa i joined, what is that supposed to mean
 yes, discussion grp only naa
 which branch bro, shall i ask
 ok, cs
 bro does github problem solved??, any branch
 solved bro, github problem?
 a-, itp grade?
 bro has sir send the slides of first lecture of ai1100, same
 how 2nd one be 1, 
 kk got it, no
 you get what to do??, village
 ok bro, sir codes are available so check it out bro it might help
 yes, as far as i can remember nothing more than introduction
 thanks bro, https://teams.microsoft.com/l/message/19:9acjegvpvxhttc3qccoaw0barr2g7wq8pdyxix0lphq1@thread.tacv2/1648583805499?tenantid=2f057da9-71e5-4402-9d02-954621afa5a6&groupid=6c1dc7a5-a51a-473a-90c2-8972d94648bd&parentmessageid=1648583805499&teamname=id1050%2fai1100&channelname=general&createdtime=1648583805499
 ya asking the same, started na
 ohho🥲🥲, alpha go
 bro what the boy said about the disadvantage, you deleted this message
 ohh ok, he said like whenever he didn't say anything but still if there is a sound then the assistant responds
 ryt now??, i don't understand
 someone is saying that a assistant can recognise a celebrity by its quality, they are in a way enjoying
 yaa😅😅, ya
 tell bro, pls help me
 same bro, since am not gud with words
 bro the excel is view only, so what do you say
 are you able to write?, ?
 , s
 what exactly we have to do, ?
 no no no, iguess
 let's see if anyone want to be cordinator, we all will do it
 yaa sure, should we let be the grp coordinator
 bro, iam not getting any idea
 same🥲🥲, u?
 where is numbers??, all courses
 means, a-9
 b- means 6 then??, b- grade means 7/10
 ohh, 7
 73 bro, 10
 73 means 9.125 cgpa??, maybe 9.125
 how much you got, i think so
 , bro did u register for id1054
 no, digital fabrication
 ig it not send yet, bioengineering class link bro
 yes, link
 bro, iam not getting
 here only written join, no need
 ok bro, i don't think so
 yaa i have taken on 2nd floor, did u take any?
 do you want to be with me, room no
 there are also 4 students, ok👍
 , ai21btech11024@iith.ac.in
 yaa sure, in sheet
 then what, iam not saying like that
 no , so is there anything i should do🧐
 yes we have 57, .
 i think so bro🥲🥲, did u save it bro
 , 
 maybe somewhere😅😅, where are room numbers bro
 kk, i think so its showing in my device also
 did he installed google sheets, it's not accessing
 bro, i will ask him
 don't know bro, yy
 for editing the form??, did u ask for request access?
 very much bro, i think tommorrow will be a rush
 yes, we will try to get atleast second or third floor
 bro, ok
 ok, ss
 is anything special??, bro let's try for 72 room number in second floor
 , room no 70 particularly cool though no ventilation
 ok then, one senior
 70 also is fine, if that bro says take fourth floor let's take it then
 but bro all our batch mates are in 2nd, iam not particularly bothered with floor number😅
 not all but mostly, all?
 .., iam not sure about getting room in second floor
 what you think bro, ok 5th is not our priority
 fine, what do think so
 bro, 70 71 72 are also in second floor
 it is very irritating bro🥲🥲, actually i think it is completely diverted
 bro 5th floor is not good, check this in google sheet
 so 72 70 is fine, ok
 and one more thing 72 is on 3rd floor ryt, ok
 bro your are happy na with these, ok
 no, is this your first time in hostel?
 do you hear about navodaya, 😯
 in that, ha
 which school, in hostel
 ohh kk, clg narayana
 is sheet is same, iam fine with any room
 then be ready, like yesterday
 72 is last, first preference
 then sure for 72, but no ventilation in 70
 ok, 72 71 preference
 any room in 2nd or 3rd, if we don't get these rooms?then
 fine, he asked me
 you can choose any room inthis if 71 72 is not empty, 12 na your roll number
 give your friend roll no also, ok
 ok, 13 & 19
 there is only for ground floor??, i can't edit
 i think due to traffic, no go down
 can you edit??, 72 is gone
 then what to do, 😭
 no, bro
 fine??, 55
 why they did that, 57 is gone na
 what, ha
 i think to edit, 
 didyou got access, ?
 and in 59 i wrongly copied my roll no, ?
 don't take tensions, we got two rooms na
 i did it, i don't think so they will lock on
 we can't edit, remove charan name write your name
 can i write, ha
 and will tell that we wrongly wrote charan name??, in 59?
 yes, can u edit 59
 bro can't edit rool no, so no problem
 that is of charan, we will take them
 charan has roll no 13 or 19, ur access is gone naa
 but can't edit charan name, ?
 i can edit blank ones, can u edit 59
 , if we give 59 to them then what of 55
 if we talk with the head, atleast 33 is written na
 i complained to cr, cause 59 is given to them
 he was seeing, by god's grace we may get back to 57
 we get 57, what happened
 ok, charan name
 i edited iy, if they take cell history and remove 13 and add 12 it will be a mistake
 yaa, the ones who took our 57 we have proof by cell history
 but i guess they only see that cells which are complained by someone, how did u get access that many times
 thank to got😅😅, ok
 can't do, 🙏
 no reply, what he told
 tell name of 91 and 13 guy, ok
 tell the charan to complain to cr, it's removed
 kk, i told him he saw
 give the link, this is old meet
 is anything important told??, https://teams.microsoft.com/l/meetup-join/19%3autdznsv377f1aajyn4ogfmj_nv_0cwwnc9xlj1rro081%40thread.tacv2/1649313538331?context=%7b%22tid%22%3a%222f057da9-71e5-4402-9d02-954621afa5a6%22%2c%22oid%22%3a%22373631fd-6cdd-42b6-ab2c-ae11c3895707%22%2c%22messageid%22%3a%221649313538331%22%7d
 bro what is macros in latex, no
 ohh, i simply saw of sirs latex and wrote it
 ig we have to email him, sir said to write na
 i am fine, consumer and commodities
 btw what we are assumed to submit for course??, if i don't much how can i contribute
 ohh, ig
 yaa there are 2 assignment already in classroom🥲🥲, i saw some from last batch
 one is single and one for group, last batch also same classroom na
 did we also have to vote😁😁, who r u voting for this elections
 where you know all this😅😅, ug rep 2 velma datri
 ohh, for this categories
 yaa i think i see he/she in class, i heard this name
 you are asking or telling, has
 ohh, telling
 bro how you find you submission in piazza, i searched in our grp
 ohh 😅😅, mine is from last 10 so not a big problem
 yaa, it's hectic
 kk, ig its douubt class as usual
 ohh, in official certificates it's ravula karthik
 ok😁😁, either way it's fine
 not till now🥲🥲, did u pass in assignment 1
 means, do you think we should have added some points
 means ig document format is not fine according to sir, poor latex formatting means what
 yes, it's two coloumn right
 all seems good bro, once look into this bro
 yaa they will explain it clearly, waiting for reply
 by personal message on telegram??, no reply
 kk, pereonally
 i can't understand??, 
 sorry bro i was eating food at that time, 
 it's a very long it's very hard to check can you tell me in which part you have problem, bro in 2-3 min i will keep my github link once check bro
 format is fine but i don't know why sir is writing that poor latex format, not the code also
 wait, hmm
 yes, 
 then it's fine bro no problem, for multiplication i used from eq 2 directly
 i submitted yesterday, did u submit bro
 how long it will go bro😢😢, ok
 🥲🥲, for 1 assignment
 https://github.com/himanshukumargupta11012/assignment_1, spcae
 can you see it once, see anki saha
 ok bro thank you very much, we get multiply symbol
 np bro, sorry i couldn't reply
 same😅😅, i searched net but not got a source😭😭
 yes😁😁, 4 days holidays right?
 😃😃yes, 🧐
 when it is??, bro what do you think of smart hackathon
 ohh, i got a msg from our classmates
 then what it is, no i don't think so
 what mean by real life problem, because these will help in our resume
 when and where to register, my bro had an idea and gone with it
 , bro
 do you know aishe code of our school, yaa this one
 thinking, ?
 yaa u r ryt🤔🤔, if we need 6 members we should ask people na
 but bro no such thing is mentioned in mail, https://sih.gov.in/sih2022ps
 ok bro, 
 but then how you get 6 members, i want to take a team of my own with my frnds
 then it's fine, i know 3 members i can ask
 i will ask some people, no need of branch
 ok bro, hmm u just say that we are participating and ask them to see the mail
 no bro🥲🥲, https://sih.gov.in/sih2022ps
 yes bro this seems simpler from ohters, 
 is there internal hackathon also??, ?
 bro, see this
 use to make products??, ss
 same i was thinking, in a broad way of thinking commodity needn't be a materialised thing
 bro, 🤔
 bro, bro if u get a trusted source please help me🙏🙏
 so, ok
 yes, we don't have choice anyway
 bro, hmm
 we have to write code for problems na??, its a no bro
 i have one person, yes
 do you have anyone??, if we want to develop an app either python or java
 finally you want to take part or no because if you want then i ask some people, if we want to participate we need to learn
 kk no problem bro, iam sorry bro no
 why you want me to feel bad bro😅😅, iam sorry bro
 class??, today we have meet at 12?
 have you attended yesterday's meet at 11 pm, yesd
 with sidhant bhaiya, what meet?
 ohh, i slept i think
 ohh😅😅, bro
 i don't think it is today because we have already assignment 1, actually i havent done a thing
 yes, deadline
 bro, ok
 i think expand it and then prove, 
 yes, id1054?
 kk no problem, i will try to do in evng
 we should, we should use \times or not??
 no  i just hate cricket, you watch ipl bro
 nothing bro, soccer
 i watch it in school days because my friends used to watch, yesterday
 ohh😅😅, actually today lucknow's match is there
 btw i am mumbai supporter, u r from up no bro i thought u maybe cheering for lsg
 i just seen the scorecard, hyderabad
 but jee ruined that na, but afterwards i started watching other sports
 ohh, like volleyball badminton
 do you play any games??, and i saw india position in olympics
 ohh nice, kabaddi in hostel room inschool
 true bro for expanding the cricket india is not taking care of other sports, i play with my bro
 mine too, then after its completely stopped
 yaa i thought same to reply in group but then think you are busy in brother marriage, what do you think
 sure, shall i ask in gro
 packing and tests etc., hmm
 i dont have any problem, if possible shall we meet at 9
 lets wait some time, ananya
 anime is that na which seems like cartoon, i watch anime bro so some sports anime made me interested in some other sports other than cricket
 i will also try😁😁, haa
 give then😅😅, if u want to start some time i can give you suggestions bro💪💪
 genre??, what is your genre bro
 romance, etc
 no🥲🥲, u watched some hollywood movies??
 wow your name is available on yt🥳🥳, comedy type
 it is bro, no
 2hour 3min, see the total time
 https://youtu.be/j7qjmr1j0fa, give me the link below once
 ohk, it's cutting bro in between
 means we have to download from browser, can you adjust with subtitles?
 then what😅😅, no
 ohh ok, u can watch directly in website
 yes bro, opened??
 yes bro, r u watching bro
 started 10 min ago🥲🥲, what time stamp are you bro now?
 very nice bro, how's the movie bro
 no bro, ask me bro i will tell you
 ok bro, because of variables
 why, for random variables shouldnt u use sympy
 but i saw this in yt, thought
 hmm, see if anyone got ur type of q in others
 ok bro, there are some codes
 , 
 bro, i dont have ig then
 hmm, what to do
 i am asking for 2nd class??, half the time sir didnt teach anything
 do you have??, ok
 it is but not opening, isnt it ther in teams
 ok, i remember
 kk it's opening in pc, yaa
